Date,Description,Theme,Jurisdiction,Area,Note,Label,Latitude,Longitude,Source
29/05/2024,"A civilian deputy to the head of the Israeli Civil Administration is appointed with extensive authority over West Bank settlement and land matters, including planning, state-land declarations, expropriations and related administrative functions.",Governance & Territory,West Bank (Israeli Civil Administration / Ministry of Defense),West Bank (territory-wide administrative authority),"Peace Now and UN reporting document a broader transfer of settlement, land and planning functions from military structures toward Israeli civilian officials. Coordinate is a West Bank anchor, not a single operational site.",Civilianization of settlement governance,31.9522,35.2332,https://peacenow.org.il/en/the-annexation-agenda-of-the-israeli-government
25/06/2024,"The Israeli Civil Administration declares approximately 12,700 dunams in the Jordan Valley as state land, the largest single such declaration since the Oslo Accords at that point and part of a record acceleration of state-land declarations during 2024.",Governance & Territory,West Bank (Area C / Israeli Civil Administration),"Jordan Valley (between Yafit, Masu'a, Gitit and Ma'ale Efraim)","The coordinate is a regional Jordan Valley anchor near Yafit, not a cadastral boundary. Peace Now reports that the declaration linked settlement areas in the valley and mountain ridge and followed earlier 2024 declarations.",Record Jordan Valley state-land declaration,32.0614,35.4742,https://peacenow.org.il/en/state-land-declaration-12000-dunams
11/05/2025,"The Israeli Security Cabinet decides to resume formal land-registration procedures in Area C of the West Bank, reviving a process suspended since 1968.",Governance & Territory,West Bank (Area C / Israeli administration),"Area C, West Bank",The coordinate is a West Bank anchor because registration concerns distributed land parcels. UN reporting states that the decision instructed the military commander to begin the process and to prevent competing Palestinian Authority registration procedures.,Area C land registration resumed,31.9522,35.2332,https://www.un.org/unispal/document/sg-report-25jun25/
29/05/2025,"The Israeli Cabinet approves the establishment or formal recognition of 22 settlements in the West Bank, including new settlements and the conversion or legalization of existing outposts.",Governance & Territory,West Bank (Israeli settlement policy),West Bank (22 distributed sites),Peace Now described the decision as the most extensive establishment of settlements of its kind since the Oslo period. The coordinate is a West Bank-wide anchor and does not represent one of the 22 sites.,22 settlements approved,31.9522,35.2332,https://peacenow.org.il/en/cabinet-decision-22-settlements
20/08/2025,"A Defence Ministry planning commission gives final approval to the E1 settlement plan east of Jerusalem, involving approximately 3,400 housing units between East Jerusalem and Ma'ale Adumim.",Governance & Territory,West Bank (Area C / Israeli settlement planning),E1 corridor / Ma'ale Adumim,The E1 coordinate is a central area anchor rather than a plan-boundary coordinate. Reuters and other monitoring organisations describe the plan as geographically significant because of its position between East Jerusalem and the central West Bank.,E1 settlement plan final approval,31.8011111,35.2816667,https://www.reuters.com/world/middle-east/israel-approves-settlement-plan-erase-idea-palestinian-state-2025-08-20/
08/02/2026,"The Israeli Security Cabinet approves a package of West Bank land and administrative measures, including changes facilitating direct land purchases and expanding Israeli enforcement and administrative powers beyond Area C in specified contexts.",Governance & Territory,West Bank / Government of Israel,West Bank (territory-wide policy package),"The coordinate is a West Bank anchor because the measures concern multiple legal and territorial mechanisms rather than a single site. This is included as a structural policy event, not as an individual settler incident.",West Bank land-control measures,31.9522,35.2332,https://peacenow.org.il/en/cabinet-land-decisions
15/02/2026,The Israeli government approves a multi-year programme and budget to advance systematic land registration in Area C through Israeli state institutions.,Governance & Territory,West Bank (Area C / Israeli administration),"Area C, West Bank",Peace Now reports a five-year programme of approximately NIS 244 million. This operationalises the May 2025 decision to resume land registration and precedes the online registration platform launched in May 2026.,Area C land-registration programme,31.9522,35.2332,https://peacenow.org.il/en/government-decision-land-registration
25/03/2026,"The Israeli Cabinet approves 34 settlements across Area C, including new settlements and the regularization or reclassification of existing outposts and settlement neighbourhoods.",Governance & Territory,West Bank (Area C / Israeli settlement policy),"Area C, West Bank (34 distributed sites)","The UN Secretary-General described this as the most extensive number of settlements approved in a single Cabinet decision to that date. The coordinate is a West Bank anchor, not an individual settlement site.",34 settlements approved,31.9522,35.2332,https://www.un.org/unispal/document/sg-report-24jun26/
25/05/2026,"The Israeli Civil Administration and Land Registration Authority launch an online platform for submitting and processing land-registration applications in the West Bank, initially covering properties in Area C.",Infrastructure & Technology,West Bank (Area C / Israeli Civil Administration and Land Registration Authority),Area C land-registration system / institutional anchor,This is included as digital administrative infrastructure: land claims are submitted and processed through an Israeli state platform. The coordinate is a West Bank administrative anchor rather than the server or a single land parcel.,Digital Area C land-registration platform,31.9522,35.2332,https://www.un.org/unispal/document/sg-report-24jun26/
08/07/2026,"B'Tselem reports that 65 Palestinian communities or isolated families, comprising more than 4,349 people, had been fully displaced from locations in Areas B and C since 7 October 2023, with a further 512 people displaced from 18 partially emptied communities.",Governance & Territory,West Bank (Areas B and C),West Bank (distributed displaced communities),Aggregate outcome marker rather than an individual settler-violence event. Included to show cumulative territorial displacement without adding hundreds of incidents. The coordinate is a West Bank-wide anchor. Arabic B'Tselem reporting was checked alongside the English site.,B'Tselem displacement milestone,31.9522,35.2332,https://www.btselem.org/settler_violence_updates_list ; https://www.btselem.org/arabic/settler_violence_updates_list?importance=1.7
11/08/2026,The UN reports an unprecedented Israeli military seizure order for privately owned land in Area A near Qabatiya for construction of a road linking the newly approved settlements of Noa and Emek Dotan.,Infrastructure & Technology,West Bank (Area A / Israeli military order),"Qabatiya, Jenin Governorate","11/08/2026 is the UN briefing date; the exact date on which the seizure order itself was issued was not specified in the source. The UN described it as the first reported seizure of Area A land explicitly for settlement infrastructure. Coordinate marks Qabatiya town as a geographic anchor, not the road alignment.",Area A land seized for settlement road,32.41,35.28,https://www.un.org/unispal/document/the-west-bank-is-at-the-breaking-point-briefing-unsco-11aug2026/
02/08/1995,"Palestine Telecommunications Company (Paltel) is incorporated in Nablus as a Palestinian public shareholding company, forming a central institution for the development and operation of Palestinian fixed-line and later mobile telecommunications infrastructure.",Infrastructure & Technology,Palestinian Authority / Palestinian telecommunications sector,"Nablus, West Bank",Paltel's financial records give 2 August 1995 as the incorporation date and 1 January 1997 as the start of operations. This row marks the institutional formation of the Palestinian telecommunications operator rather than the later network launch.,Paltel incorporated,32.2211,35.2544,https://www.paltelgroup.ps/uploadedFiles/uploader/Paltel%20June%202016%20English-Final.pdf ; https://www.paltelgroup.ps/pginfo/?p=8044
28/09/1995,"Oslo II establishes a telecommunications framework governing Palestinian use of the electromagnetic spectrum, telecommunications infrastructure, microwave links, international connections and coordination with Israel through the Joint Technical Committee.",Infrastructure & Technology,Government of Israel / PLO,"Washington, D.C. / West Bank and Gaza telecommunications framework","This is a distinct technology-infrastructure entry associated with the existing Oslo II political-territorial row in the master timeline. Annex III Article 36 states that Palestinian spectrum use and future frequency needs are subject to bilateral coordination, while telecommunications construction in Area C requires prior Israeli confirmation.",Oslo II telecom and spectrum framework,38.8977,-77.0365,https://www.un.org/unispal/document/auto-insert-185434/ ; https://www.un.org/unispal/document/auto-insert-206729/
01/10/1999,"The first phase of Jawwal, the Palestinian cellular network, begins operation, establishing a Palestinian GSM mobile service.",Infrastructure & Technology,Palestinian Authority / Palestinian telecommunications sector,West Bank and Gaza Strip (Ramallah used as institutional anchor),Month-only anchor: the International Telecommunication Union records the first phase of the Jawwal network as beginning in October 1999. 01/10 is used as a month anchor rather than an asserted exact launch day. The same ITU record documents subsequent restrictions on Palestinian access to the full frequency spectrum.,Jawwal mobile network launches,31.9038,35.2034,https://www.itu.int/dms_pub/itu-s/md/03/wsis/c/S03-WSIS-C-0007%21%21PDF-E.pdf ; https://www.paltelgroup.ps/uploads/AR_English_2019.pdf
22/03/2000,"The .ps country-code top-level internet domain is established for Palestine, creating a distinct Palestinian namespace within the global Domain Name System.",Infrastructure & Technology,Palestinian Authority / global internet governance,Ramallah / Palestinian Government Computer Center,IANA records the .ps ccTLD as created on 22 March 2000 after Palestine received the ISO 3166-1 code PS. The coordinate uses Ramallah as the governmental and registry-administration anchor rather than a physical internet-infrastructure site.,.ps internet domain established,31.9038,35.2034,https://www.iana.org/reports/2000/ps-report-22mar00.html ; https://www.iana.org/whois?q=.ps
01/11/2009,"Wataniya Mobile begins commercial operations in the West Bank as the second Palestinian mobile network operator, ending Jawwal's monopoly in the West Bank telecommunications market.",Infrastructure & Technology,Palestinian Authority / West Bank telecommunications sector,West Bank (Ramallah used as operator and regulatory anchor),Month-only anchor: Wataniya/Ooredoo's 2017 annual report records the launch of business in the West Bank in November 2009. 01/11 is used as a month anchor rather than an asserted exact launch day.,Second Palestinian mobile network launches,31.9038,35.2034,https://www.ooredoo.ps/cached_uploads/download/migrated-files/itemfiles/6f7425f211f78c1db85f5cc5eb4d5b97.pdf ; https://www.ooredoo.ps/cached_uploads/download/migrated-files/itemfiles/ab55f91749481ea73cc9089fcec50475.pdf
20/08/2010,The Arabic-script country-code top-level domain .?????? (Falasteen / Palestine) is registered in the global Domain Name System.,Infrastructure & Technology,Palestinian Authority / global internet governance,Ramallah and Gaza / Palestinian National Internet Naming Authority,IANA records the registration date as 20 August 2010. The domain represents Palestine in Arabic script and is administered through Palestinian internet-governance institutions. Ramallah is used as the principal governmental anchor; PNINA also maintains technical contacts in Gaza.,Arabic .?????? domain established,31.9038,35.2034,https://www.iana.org/domains/root/db/xn--ygbi2ammx.html ; https://www.iana.org/reports/2010/falasteen-report-16jul2010.html
20/09/2012,Paltel and Turk Telecom International launch a partnership to connect the Palestinian telecommunications network directly to international internet backbone infrastructure through fibre-optic and submarine-cable routes toward Europe.,Infrastructure & Technology,Palestinian Authority / international telecommunications network,"Al-Bireh, West Bank / international fibre route","The contemporary Arabic report dated 21 September 2012 describes the launch ceremony as taking place 'yesterday', giving 20 September as the event date. Paltel described the connection as its first direct commercial arrangement with a global operator that could provide an alternative international route without dependence on Israeli internet providers. The coordinate marks Al-Bireh, where the launch ceremony took place, not the transnational cable route.",Direct Palestinian international fibre link,31.91,35.216,https://www.paltelgroup.ps/pginfo/?p=1649 ; https://www.paltelgroup.ps/uploads/AR_English_2019.pdf
31/03/2016,"The World Bank publishes an assessment quantifying the economic and infrastructural impact of restrictions on Palestinian telecommunications, including delayed mobile broadband, limits on spectrum, restrictions on importing equipment and barriers to building infrastructure in Area C.",Infrastructure & Technology,West Bank and Gaza Strip / Israeli-Palestinian telecommunications regime,Occupied Palestinian territories (West Bank anchor),"The World Bank estimated Palestinian mobile-sector revenue losses of more than US$1 billion over the preceding three years. The report also documented inability to operate normally in Area C, restrictions on equipment imports and delays in spectrum allocation. The coordinate is a West Bank geographic anchor because the assessment concerns a distributed telecommunications system.",Telecom restrictions quantified,31.9522,35.2332,https://www.worldbank.org/en/news/press-release/2016/03/31/lifting-restrictions-and-promoting-better-regulation-to-unleash-the-potential-of-the-digital-economy-in-palestine ; https://documents1.worldbank.org/curated/en/993031473856114803/pdf/104263-REVISED-title-a-little-different-WP-P150798-NOW-OUO-9.pdf
01/11/2017,"Wataniya Mobile begins operating in the Gaza Strip, introducing a second Palestinian mobile operator to Gaza after years of delay associated with access to frequencies and the import of telecommunications equipment.",Infrastructure & Technology,Gaza Strip / Palestinian telecommunications sector,Gaza Strip,Month-only anchor: Wataniya Mobile's 2017 annual report records the Gaza launch in November 2017. 01/11 is used as a month anchor rather than an asserted exact day. A 2016 World Bank assessment documented that restrictions on spectrum and equipment had prevented the operator from entering Gaza earlier.,Second mobile operator enters Gaza,31.5017,34.4668,https://www.ooredoo.ps/cached_uploads/download/migrated-files/itemfiles/6f7425f211f78c1db85f5cc5eb4d5b97.pdf ; https://www.worldbank.org/en/news/press-release/2016/03/31/lifting-restrictions-and-promoting-better-regulation-to-unleash-the-potential-of-the-digital-economy-in-palestine
26/10/2020,"Bezeq receives a general licence from the Israeli Civil Administration to provide domestic fixed-line telecommunications services in the occupied West Bank, formalising its operation and infrastructure deployment there.",Infrastructure & Technology,West Bank (Israeli Civil Administration),West Bank / Area C,"Bezeq's 2020 annual report records receipt of the formal licence on 26 October 2020. The World Bank notes that the licence enables high-speed services to settlements, roads and public areas while Palestinian operators continue to face restrictions on spectrum, equipment imports and infrastructure construction in Area C. The coordinate is a West Bank anchor rather than a single telecommunications facility.",Bezeq West Bank licence formalised,31.9522,35.2332,https://ir.bezeq.co.il/static-files/770b7f6a-96d1-4b0d-92c2-e4cb0a15bc9e ; https://documents1.worldbank.org/curated/en/472671640152521943/pdf/Palestinian-Digital-Economy-Assessment.pdf
15/10/2023,"The Israeli military publicly confirms deliberate GPS jamming in northern Israel during the Gaza war, warning that navigation applications may be disrupted; GNSS interference subsequently becomes a significant feature of the wider eastern Mediterranean conflict environment.",Infrastructure & Technology,State of Israel / regional GNSS environment,Northern Israel / Lebanon border area,This row marks an explicit public confirmation of intentional GNSS interference rather than the first technical occurrence. The coordinate is a northern-border geographic anchor. Later aviation and GNSS monitoring documented extensive jamming and spoofing across the Tel Aviv flight information region and eastern Mediterranean.,GNSS jamming publicly confirmed,33.1,35.55,https://www.timesofisrael.com/liveblog_entry/idf-declares-restricted-area-up-to-4-kilometers-from-lebanon-border-civilians-prohibited-from-entering/ ; https://www.faa.gov/about/office_org/headquarters_offices/avs/offices/afx/afs/afs400/afs410/GNSS/GPS_GNSS_Interference_Resource_Guide.pdf
27/10/2023,"Landline, mobile and internet communications are cut across the Gaza Strip during intensified Israeli military operations, producing a near-total telecommunications blackout.",Infrastructure & Technology,Gaza Strip,Gaza Strip (territory-wide communications network),"OCHA records the shutdown beginning at about 18:00 on 27 October 2023. The loss of communications disrupted emergency medical response, civil defence, humanitarian coordination and civilian access to information. The coordinate is a Gaza Strip anchor because the blackout affected a distributed network.",Gaza telecommunications blackout,31.5017,34.4668,https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-21 ; https://www.ochaopt.org/content/hostilities-gaza-strip-and-israel-flash-update-22
